County,State,Year,Force,Employed,Unemployed,(%)
Clay County,KY,2018,"5,221","4,852",369,7.1
Clinton County,KY,2018,"3,869","3,657",212,5.5
Crittenden County,KY,2018,"3,908","3,706",202,5.2
Cumberland County,KY,2018,"3,134","2,994",140,4.5
Daviess County,KY,2018,"48,018","46,121","1,897",4
Edmonson County,KY,2018,"4,868","4,610",258,5.3
Elliott County,KY,2018,"2,070","1,878",192,9.3
Estill County,KY,2018,"5,325","5,033",292,5.5
Fayette County,KY,2018,"174,849","169,048","5,801",3.3
Fleming County,KY,2018,"6,142","5,808",334,5.4
Floyd County,KY,2018,"10,907","10,187",720,6.6
Franklin County,KY,2018,"25,051","24,115",936,3.7
Fulton County,KY,2018,"2,048","1,930",118,5.8
Gallatin County,KY,2018,"4,073","3,907",166,4.1
Garrard County,KY,2018,"7,693","7,352",341,4.4
Grant County,KY,2018,"11,729","11,223",506,4.3
Graves County,KY,2018,"15,447","14,670",777,5
Grayson County,KY,2018,"10,995","10,455",540,4.9
Green County,KY,2018,"5,076","4,858",218,4.3
Greenup County,KY,2018,"13,459","12,564",895,6.6
Hancock County,KY,2018,"4,089","3,919",170,4.2
Hardin County,KY,2018,"49,149","47,158","1,991",4.1
Harlan County,KY,2018,"6,554","6,067",487,7.4
Harrison County,KY,2018,"8,699","8,339",360,4.1
Hart County,KY,2018,"8,085","7,763",322,4
Henderson County,KY,2018,"22,154","21,303",851,3.8
Henry County,KY,2018,"8,183","7,865",318,3.9
Hickman County,KY,2018,"1,812","1,708",104,5.7
Hopkins County,KY,2018,"19,281","18,429",852,4.4
Jackson County,KY,2018,"4,117","3,829",288,7
Jefferson County,KY,2018,"400,587","384,318","16,269",4.1
Jessamine County,KY,2018,"26,425","25,465",960,3.6
Johnson County,KY,2018,"6,763","6,298",465,6.9
Kenton County,KY,2018,"87,686","84,661","3,025",3.4
Knott County,KY,2018,"4,425","4,121",304,6.9
Knox County,KY,2018,"10,114","9,482",632,6.2
Larue County,KY,2018,"6,075","5,808",267,4.4
Laurel County,KY,2018,"24,947","23,679","1,268",5.1
Lawrence County,KY,2018,"5,085","4,717",368,7.2
Lee County,KY,2018,"2,033","1,904",129,6.3
Leslie County,KY,2018,"2,650","2,462",188,7.1
Letcher County,KY,2018,"6,316","5,904",412,6.5
Lewis County,KY,2018,"4,727","4,331",396,8.4
Lincoln County,KY,2018,"9,366","8,895",471,5
Livingston County,KY,2018,"3,702","3,451",251,6.8
Logan County,KY,2018,"12,453","11,970",483,3.9
Lyon County,KY,2018,"3,063","2,907",156,5.1
McCracken County,KY,2018,"29,386","27,744","1,642",5.6
McCreary County,KY,2018,"4,654","4,360",294,6.3
McLean County,KY,2018,"4,285","4,074",211,4.9
Madison County,KY,2018,"46,892","45,083","1,809",3.9
Magoffin County,KY,2018,"2,855","2,477",378,13.2
Marion County,KY,2018,"9,627","9,263",364,3.8
Marshall County,KY,2018,"15,078","14,280",798,5.3
Martin County,KY,2018,"2,788","2,607",181,6.5
Mason County,KY,2018,"7,254","6,854",400,5.5
Meade County,KY,2018,"12,319","11,747",572,4.6
Menifee County,KY,2018,"2,340","2,162",178,7.6
Mercer County,KY,2018,"9,871","9,431",440,4.5
Metcalfe County,KY,2018,"4,201","4,028",173,4.1
Monroe County,KY,2018,"4,728","4,532",196,4.1
Montgomery County,KY,2018,"11,663","10,967",696,6
Morgan County,KY,2018,"4,476","4,193",283,6.3
Muhlenberg County,KY,2018,"10,604","9,890",714,6.7
Nelson County,KY,2018,"22,711","21,726",985,4.3
Nicholas County,KY,2018,"3,287","3,137",150,4.6
Ohio County,KY,2018,"9,914","9,348",566,5.7
Oldham County,KY,2018,"33,270","32,176","1,094",3.3
Owen County,KY,2018,"5,229","4,974",255,4.9
Owsley County,KY,2018,"1,171","1,088",83,7.1
Pendleton County,KY,2018,"7,058","6,769",289,4.1
Perry County,KY,2018,"8,245","7,723",522,6.3
Pike County,KY,2018,"19,933","18,751","1,182",5.9
Powell County,KY,2018,"5,023","4,724",299,6
Pulaski County,KY,2018,"25,726","24,421","1,305",5.1
Robertson County,KY,2018,815,775,40,4.9
Rockcastle County,KY,2018,"6,693","6,363",330,4.9
Rowan County,KY,2018,"10,706","10,153",553,5.2
Russell County,KY,2018,"6,270","5,906",364,5.8
Scott County,KY,2018,"28,607","27,661",946,3.3
Shelby County,KY,2018,"24,920","24,052",868,3.5
Simpson County,KY,2018,"8,836","8,493",343,3.9
Spencer County,KY,2018,"10,061","9,694",367,3.6
Taylor County,KY,2018,"12,494","11,959",535,4.3
Todd County,KY,2018,"5,312","5,100",212,4
Trigg County,KY,2018,"6,001","5,717",284,4.7
Trimble County,KY,2018,"3,893","3,726",167,4.3
Union County,KY,2018,"6,039","5,739",300,5
Warren County,KY,2018,"64,400","62,028","2,372",3.7
Washington County,KY,2018,"6,201","5,969",232,3.7
Wayne County,KY,2018,"7,598","7,064",534,7
Webster County,KY,2018,"5,862","5,616",246,4.2
Whitley County,KY,2018,"13,920","13,224",696,5
Wolfe County,KY,2018,"1,904","1,758",146,7.7
Woodford County,KY,2018,"14,793","14,336",457,3.1
Acadia Parish,LA,2018,"23,952","22,665","1,287",5.4
Allen Parish,LA,2018,"8,784","8,290",494,5.6
Ascension Parish,LA,2018,"62,979","60,370","2,609",4.1
Assumption Parish,LA,2018,"8,941","8,345",596,6.7
Avoyelles Parish,LA,2018,"15,313","14,437",876,5.7
Beauregard Parish,LA,2018,"14,542","13,769",773,5.3
Bienville Parish,LA,2018,"5,670","5,339",331,5.8
Bossier Parish,LA,2018,"57,620","55,156","2,464",4.3
Caddo Parish,LA,2018,"104,778","99,027","5,751",5.5
Calcasieu Parish,LA,2018,"109,878","105,683","4,195",3.8
Caldwell Parish,LA,2018,"3,826","3,607",219,5.7
Cameron Parish,LA,2018,"4,057","3,914",143,3.5
Catahoula Parish,LA,2018,"3,381","3,151",230,6.8
Claiborne Parish,LA,2018,"5,779","5,476",303,5.2
Concordia Parish,LA,2018,"6,956","6,467",489,7
De Soto Parish,LA,2018,"10,754","10,136",618,5.7
East Baton Rouge Parish,LA,2018,"232,663","222,618","10,045",4.3
East Carroll Parish,LA,2018,"1,962","1,759",203,10.3
East Feliciana Parish,LA,2018,"8,008","7,634",374,4.7
Evangeline Parish,LA,2018,"12,061","11,364",697,5.8
Franklin Parish,LA,2018,"7,311","6,790",521,7.1
Grant Parish,LA,2018,"8,071","7,595",476,5.9
Iberia Parish,LA,2018,"28,639","26,964","1,675",5.8
Iberville Parish,LA,2018,"14,190","13,312",878,6.2
Jackson Parish,LA,2018,"6,839","6,524",315,4.6
Jefferson Parish,LA,2018,"215,064","205,660","9,404",4.4
Jefferson Davis Parish,LA,2018,"13,510","12,873",637,4.7
Lafayette Parish,LA,2018,"113,337","108,265","5,072",4.5
Lafourche Parish,LA,2018,"41,816","39,835","1,981",4.7
LaSalle Parish,LA,2018,"6,289","6,013",276,4.4
Lincoln Parish,LA,2018,"21,791","20,653","1,138",5.2
Livingston Parish,LA,2018,"67,916","65,165","2,751",4.1
Madison Parish,LA,2018,"3,627","3,326",301,8.3
Morehouse Parish,LA,2018,"10,193","9,360",833,8.2
Natchitoches Parish,LA,2018,"16,527","15,566",961,5.8
Orleans Parish,LA,2018,"178,845","169,891","8,954",5
Ouachita Parish,LA,2018,"70,364","66,703","3,661",5.2
Plaquemines Parish,LA,2018,"9,992","9,530",462,4.6
Pointe Coupee Parish,LA,2018,"9,999","9,463",536,5.4
Rapides Parish,LA,2018,"55,281","52,346","2,935",5.3
Red River Parish,LA,2018,"4,033","3,854",179,4.4
Richland Parish,LA,2018,"8,318","7,799",519,6.2
Sabine Parish,LA,2018,"9,009","8,542",467,5.2
St. Bernard Parish,LA,2018,"19,519","18,541",978,5
St. Charles Parish,LA,2018,"24,916","23,822","1,094",4.4
St. Helena Parish,LA,2018,"4,329","4,045",284,6.6
St. James Parish,LA,2018,"9,327","8,751",576,6.2
St. John the Baptist Parish,LA,2018,"19,641","18,524","1,117",5.7
St. Landry Parish,LA,2018,"31,933","29,941","1,992",6.2
St. Martin Parish,LA,2018,"22,399","21,226","1,173",5.2
St. Mary Parish,LA,2018,"20,103","18,778","1,325",6.6
St. Tammany Parish,LA,2018,"117,656","112,728","4,928",4.2
Tangipahoa Parish,LA,2018,"54,353","51,374","2,979",5.5
Tensas Parish,LA,2018,"1,460","1,347",113,7.7
Terrebonne Parish,LA,2018,"46,432","44,109","2,323",5
Union Parish,LA,2018,"9,153","8,634",519,5.7
Vermilion Parish,LA,2018,"24,196","22,920","1,276",5.3
Vernon Parish,LA,2018,"16,040","14,983","1,057",6.6
Washington Parish,LA,2018,"16,835","15,867",968,5.7
Webster Parish,LA,2018,"14,668","13,771",897,6.1
West Baton Rouge Parish,LA,2018,"13,528","12,927",601,4.4
West Carroll Parish,LA,2018,"3,890","3,532",358,9.2
West Feliciana Parish,LA,2018,"5,334","5,122",212,4
Winn Parish,LA,2018,"4,925","4,616",309,6.3
Androscoggin County,ME,2018,"55,449","53,621","1,828",3.3
Aroostook County,ME,2018,"31,085","29,589","1,496",4.8
Cumberland County,ME,2018,"165,409","160,973","4,436",2.7
Franklin County,ME,2018,"14,471","13,890",581,4
Hancock County,ME,2018,"29,407","28,291","1,116",3.8
Kennebec County,ME,2018,"62,541","60,517","2,024",3.2
Knox County,ME,2018,"20,584","19,921",663,3.2
Lincoln County,ME,2018,"16,988","16,420",568,3.3
Oxford County,ME,2018,"26,683","25,618","1,065",4
Penobscot County,ME,2018,"77,127","74,207","2,920",3.8
Piscataquis County,ME,2018,"7,467","7,156",311,4.2
Sagadahoc County,ME,2018,"19,440","18,913",527,2.7
Somerset County,ME,2018,"22,888","21,787","1,101",4.8
Waldo County,ME,2018,"21,250","20,501",749,3.5
Washington County,ME,2018,"13,961","13,274",687,4.9
York County,ME,2018,"113,999","110,544","3,455",3
Allegany County,MD,2018,"31,984","30,220","1,764",5.5
Anne Arundel County,MD,2018,"309,603","299,260","10,343",3.3
Baltimore County,MD,2018,"450,366","432,164","18,202",4
Calvert County,MD,2018,"49,121","47,382","1,739",3.5
Caroline County,MD,2018,"18,028","17,340",688,3.8
Carroll County,MD,2018,"94,339","91,277","3,062",3.2
Cecil County,MD,2018,"52,632","50,315","2,317",4.4
Charles County,MD,2018,"85,104","81,805","3,299",3.9
Dorchester County,MD,2018,"15,347","14,548",799,5.2
Frederick County,MD,2018,"130,831","126,233","4,598",3.5
Garrett County,MD,2018,"15,410","14,673",737,4.8
Harford County,MD,2018,"138,162","133,157","5,005",3.6
Howard County,MD,2018,"183,889","178,360","5,529",3
Kent County,MD,2018,"10,254","9,810",444,4.3
Montgomery County,MD,2018,"554,989","537,429","17,560",3.2
Prince George's County,MD,2018,"504,423","483,850","20,573",4.1
Queen Anne's County,MD,2018,"27,379","26,462",917,3.3
St. Mary's County,MD,2018,"55,295","53,193","2,102",3.8
Somerset County,MD,2018,"9,353","8,709",644,6.9
Talbot County,MD,2018,"19,562","18,829",733,3.7
Washington County,MD,2018,"74,742","71,493","3,249",4.3
Wicomico County,MD,2018,"51,041","48,365","2,676",5.2
Worcester County,MD,2018,"25,525","23,475","2,050",8
Baltimore city,MD,2018,"289,758","273,304","16,454",5.7
Barnstable County,MA,2018,"116,225","111,251","4,974",4.3
Berkshire County,MA,2018,"66,109","63,440","2,669",4
Bristol County,MA,2018,"302,918","289,955","12,963",4.3
Dukes County,MA,2018,"9,780","9,331",449,4.6
Essex County,MA,2018,"429,887","415,184","14,703",3.4
Franklin County,MA,2018,"41,365","40,115","1,250",3
Hampden County,MA,2018,"231,265","220,606","10,659",4.6
Hampshire County,MA,2018,"91,522","88,754","2,768",3
Middlesex County,MA,2018,"923,768","898,786","24,982",2.7
Nantucket County/town,MA,2018,"7,526","7,194",332,4.4
Norfolk County,MA,2018,"393,159","381,505","11,654",3
Plymouth County,MA,2018,"284,938","274,968","9,970",3.5
Suffolk County,MA,2018,"456,319","442,599","13,720",3
Worcester County,MA,2018,"450,670","434,714","15,956",3.5
Alcona County,MI,2018,"3,830","3,578",252,6.6
Alger County,MI,2018,"3,243","2,989",254,7.8
Allegan County,MI,2018,"62,239","60,206","2,033",3.3
Alpena County,MI,2018,"13,459","12,775",684,5.1
Antrim County,MI,2018,"10,111","9,543",568,5.6
Arenac County,MI,2018,"5,974","5,549",425,7.1
Baraga County,MI,2018,"3,176","2,982",194,6.1
Barry County,MI,2018,"31,664","30,585","1,079",3.4
Bay County,MI,2018,"50,352","47,942","2,410",4.8
Benzie County,MI,2018,"8,790","8,306",484,5.5
Berrien County,MI,2018,"73,328","70,176","3,152",4.3
Branch County,MI,2018,"19,641","18,921",720,3.7
Calhoun County,MI,2018,"62,865","60,219","2,646",4.2
Cass County,MI,2018,"24,378","23,386",992,4.1
Charlevoix County,MI,2018,"13,128","12,506",622,4.7
Cheboygan County,MI,2018,"10,682","9,699",983,9.2
Chippewa County,MI,2018,"16,312","15,231","1,081",6.6
Clare County,MI,2018,"11,843","11,122",721,6.1
Clinton County,MI,2018,"41,047","39,744","1,303",3.2
Crawford County,MI,2018,"5,512","5,181",331,6
Delta County,MI,2018,"17,030","16,125",905,5.3
Dickinson County,MI,2018,"12,449","11,970",479,3.8
Eaton County,MI,2018,"56,986","55,009","1,977",3.5
Emmet County,MI,2018,"17,604","16,567","1,037",5.9
Genesee County,MI,2018,"181,781","172,887","8,894",4.9
Gladwin County,MI,2018,"9,952","9,392",560,5.6
Gogebic County,MI,2018,"6,207","5,890",317,5.1
Grand Traverse County,MI,2018,"49,157","47,346","1,811",3.7
Gratiot County,MI,2018,"17,766","16,934",832,4.7
Hillsdale County,MI,2018,"20,738","19,904",834,4
Houghton County,MI,2018,"16,179","15,355",824,5.1
Huron County,MI,2018,"15,826","15,097",729,4.6
Ingham County,MI,2018,"150,474","144,991","5,483",3.6
Ionia County,MI,2018,"30,119","29,082","1,037",3.4
Iosco County,MI,2018,"10,076","9,434",642,6.4
Iron County,MI,2018,"5,147","4,860",287,5.6
Isabella County,MI,2018,"34,817","33,454","1,363",3.9
Jackson County,MI,2018,"74,281","71,351","2,930",3.9
Kalamazoo County,MI,2018,"132,886","128,349","4,537",3.4
Kalkaska County,MI,2018,"7,816","7,358",458,5.9
Kent County,MI,2018,"358,900","348,246","10,654",3
Keweenaw County,MI,2018,882,821,61,6.9
Lake County,MI,2018,"3,666","3,414",252,6.9
Lapeer County,MI,2018,"41,369","39,232","2,137",5.2
Leelanau County,MI,2018,"10,533","10,088",445,4.2
Lenawee County,MI,2018,"46,956","45,038","1,918",4.1
Livingston County,MI,2018,"102,785","99,402","3,383",3.3
Luce County,MI,2018,"2,417","2,267",150,6.2
Mackinac County,MI,2018,"5,129","4,634",495,9.7
Macomb County,MI,2018,"445,483","427,445","18,038",4
Manistee County,MI,2018,"10,454","9,854",600,5.7
Marquette County,MI,2018,"32,422","30,839","1,583",4.9
Mason County,MI,2018,"13,835","13,159",676,4.9
Mecosta County,MI,2018,"18,562","17,642",920,5
Menominee County,MI,2018,"11,019","10,573",446,4
Midland County,MI,2018,"40,611","38,993","1,618",4
Missaukee County,MI,2018,"7,067","6,712",355,5
Monroe County,MI,2018,"75,765","72,596","3,169",4.2
Montcalm County,MI,2018,"28,474","27,270","1,204",4.2
Montmorency County,MI,2018,"3,037","2,775",262,8.6
Muskegon County,MI,2018,"78,196","74,639","3,557",4.5
Newaygo County,MI,2018,"23,333","22,321","1,012",4.3
Oakland County,MI,2018,"670,739","648,277","22,462",3.3
Oceana County,MI,2018,"12,456","11,696",760,6.1
Ogemaw County,MI,2018,"8,137","7,567",570,7
Ontonagon County,MI,2018,"2,110","1,945",165,7.8
Osceola County,MI,2018,"10,884","10,401",483,4.4
Oscoda County,MI,2018,"2,976","2,785",191,6.4
Otsego County,MI,2018,"11,584","10,978",606,5.2
Ottawa County,MI,2018,"160,101","155,593","4,508",2.8
Presque Isle County,MI,2018,"5,114","4,707",407,8
Roscommon County,MI,2018,"7,814","7,206",608,7.8
Saginaw County,MI,2018,"86,849","82,697","4,152",4.8
St. Clair County,MI,2018,"75,778","72,183","3,595",4.7
St. Joseph County,MI,2018,"28,268","27,213","1,055",3.7
Sanilac County,MI,2018,"19,579","18,575","1,004",5.1
Schoolcraft County,MI,2018,"3,387","3,145",242,7.1
Shiawassee County,MI,2018,"33,151","31,719","1,432",4.3
Tuscola County,MI,2018,"23,860","22,556","1,304",5.5
Van Buren County,MI,2018,"35,681","33,955","1,726",4.8
Washtenaw County,MI,2018,"194,621","188,693","5,928",3
Wayne County,MI,2018,"794,466","752,926","41,540",5.2
Wexford County,MI,2018,"14,766","14,078",688,4.7
Aitkin County,MN,2018,"7,162","6,760",402,5.6
Anoka County,MN,2018,"196,586","191,154","5,432",2.8
Becker County,MN,2018,"18,591","17,930",661,3.6
Beltrami County,MN,2018,"24,088","23,100",988,4.1
Benton County,MN,2018,"21,666","20,909",757,3.5
Big Stone County,MN,2018,"2,517","2,421",96,3.8
Blue Earth County,MN,2018,"40,277","39,266","1,011",2.5
Brown County,MN,2018,"14,535","14,047",488,3.4
Carlton County,MN,2018,"17,655","16,926",729,4.1
Carver County,MN,2018,"57,859","56,437","1,422",2.5
Cass County,MN,2018,"14,333","13,602",731,5.1
Chippewa County,MN,2018,"6,887","6,667",220,3.2
Chisago County,MN,2018,"29,662","28,665",997,3.4
Clay County,MN,2018,"35,791","34,766","1,025",2.9
Clearwater County,MN,2018,"4,475","4,111",364,8.1
Cook County,MN,2018,"3,029","2,924",105,3.5
Cottonwood County,MN,2018,"5,826","5,619",207,3.6
Crow Wing County,MN,2018,"32,232","30,968","1,264",3.9
Dakota County,MN,2018,"239,835","233,744","6,091",2.5
Dodge County,MN,2018,"11,834","11,482",352,3
Douglas County,MN,2018,"20,604","20,023",581,2.8
Faribault County,MN,2018,"7,006","6,763",243,3.5
Fillmore County,MN,2018,"11,534","11,177",357,3.1
Freeborn County,MN,2018,"16,044","15,532",512,3.2
Goodhue County,MN,2018,"26,823","26,086",737,2.7
Grant County,MN,2018,"3,303","3,172",131,4
Hennepin County,MN,2018,"703,310","685,853","17,457",2.5
Houston County,MN,2018,"10,460","10,161",299,2.9
Hubbard County,MN,2018,"9,851","9,361",490,5
Isanti County,MN,2018,"21,134","20,346",788,3.7
Itasca County,MN,2018,"21,820","20,645","1,175",5.4
Jackson County,MN,2018,"5,733","5,566",167,2.9
Kanabec County,MN,2018,"8,934","8,445",489,5.5
Kandiyohi County,MN,2018,"24,821","24,095",726,2.9
Kittson County,MN,2018,"2,346","2,277",69,2.9
Koochiching County,MN,2018,"5,956","5,594",362,6.1
Lac qui Parle County,MN,2018,"3,528","3,400",128,3.6
Lake County,MN,2018,"5,478","5,306",172,3.1
Lake of the Woods County,MN,2018,"2,405","2,314",91,3.8
Le Sueur County,MN,2018,"15,962","15,300",662,4.1
Lincoln County,MN,2018,"3,269","3,171",98,3
Lyon County,MN,2018,"14,818","14,392",426,2.9
McLeod County,MN,2018,"19,500","18,890",610,3.1
Mahnomen County,MN,2018,"2,329","2,223",106,4.6
Marshall County,MN,2018,"5,440","5,125",315,5.8
Martin County,MN,2018,"10,303","9,980",323,3.1
Meeker County,MN,2018,"13,143","12,685",458,3.5
Mille Lacs County,MN,2018,"12,788","12,169",619,4.8
Morrison County,MN,2018,"17,576","16,753",823,4.7
Mower County,MN,2018,"20,450","19,903",547,2.7
Murray County,MN,2018,"4,906","4,724",182,3.7
Nicollet County,MN,2018,"20,756","20,300",456,2.2
Nobles County,MN,2018,"11,284","10,988",296,2.6
Norman County,MN,2018,"3,379","3,234",145,4.3
Olmsted County,MN,2018,"87,757","85,748","2,009",2.3
Otter Tail County,MN,2018,"31,441","30,313","1,128",3.6
Pennington County,MN,2018,"8,797","8,428",369,4.2
Pine County,MN,2018,"14,850","14,130",720,4.8
Pipestone County,MN,2018,"4,971","4,828",143,2.9
Polk County,MN,2018,"16,786","16,171",615,3.7
Pope County,MN,2018,"6,431","6,265",166,2.6
Ramsey County,MN,2018,"288,814","281,072","7,742",2.7
Red Lake County,MN,2018,"2,231","2,116",115,5.2
Redwood County,MN,2018,"7,614","7,340",274,3.6
Renville County,MN,2018,"8,787","8,442",345,3.9
Rice County,MN,2018,"36,852","35,832","1,020",2.8
Rock County,MN,2018,"5,726","5,594",132,2.3
Roseau County,MN,2018,"7,989","7,724",265,3.3
St. Louis County,MN,2018,"101,957","98,202","3,755",3.7
Scott County,MN,2018,"82,820","80,758","2,062",2.5
Sherburne County,MN,2018,"51,700","50,069","1,631",3.2
Sibley County,MN,2018,"8,473","8,205",268,3.2
Stearns County,MN,2018,"89,884","87,241","2,643",2.9
Steele County,MN,2018,"20,563","19,958",605,2.9
Stevens County,MN,2018,"5,457","5,328",129,2.4
Swift County,MN,2018,"5,037","4,853",184,3.7
Todd County,MN,2018,"13,587","13,062",525,3.9
Traverse County,MN,2018,"1,760","1,703",57,3.2
Wabasha County,MN,2018,"12,295","11,934",361,2.9
Wadena County,MN,2018,"5,917","5,611",306,5.2
Waseca County,MN,2018,"9,002","8,636",366,4.1
Washington County,MN,2018,"141,974","138,416","3,558",2.5
Watonwan County,MN,2018,"6,509","6,284",225,3.5
Wilkin County,MN,2018,"3,558","3,451",107,3
Winona County,MN,2018,"28,804","28,051",753,2.6
Wright County,MN,2018,"74,674","72,455","2,219",3
Yellow Medicine County,MN,2018,"5,379","5,218",161,3
Adams County,MS,2018,"11,202","10,506",696,6.2
Alcorn County,MS,2018,"16,123","15,456",667,4.1
Amite County,MS,2018,"4,470","4,200",270,6
Attala County,MS,2018,"6,927","6,534",393,5.7
Benton County,MS,2018,"3,078","2,907",171,5.6
Bolivar County,MS,2018,"12,472","11,708",764,6.1
Calhoun County,MS,2018,"5,976","5,719",257,4.3
Carroll County,MS,2018,"3,593","3,397",196,5.5
Chickasaw County,MS,2018,"7,036","6,687",349,5
Choctaw County,MS,2018,"3,792","3,610",182,4.8
Claiborne County,MS,2018,"2,952","2,681",271,9.2
Clarke County,MS,2018,"5,938","5,604",334,5.6
Clay County,MS,2018,"7,826","7,356",470,6
Coahoma County,MS,2018,"8,680","8,088",592,6.8
Copiah County,MS,2018,"11,251","10,637",614,5.5
Covington County,MS,2018,"8,288","7,926",362,4.4
DeSoto County,MS,2018,"89,980","86,596","3,384",3.8
Forrest County,MS,2018,"33,763","32,269","1,494",4.4
Franklin County,MS,2018,"2,766","2,599",167,6
George County,MS,2018,"8,892","8,327",565,6.4
Greene County,MS,2018,"4,289","4,025",264,6.2
Grenada County,MS,2018,"9,591","9,181",410,4.3
Hancock County,MS,2018,"18,839","17,902",937,5
Harrison County,MS,2018,"86,579","82,662","3,917",4.5
Hinds County,MS,2018,"109,294","104,257","5,037",4.6
Holmes County,MS,2018,"5,700","5,193",507,8.9
Humphreys County,MS,2018,"2,306","2,113",193,8.4
Issaquena County,MS,2018,378,344,34,9
Itawamba County,MS,2018,"10,302","9,883",419,4.1
Jackson County,MS,2018,"58,725","55,479","3,246",5.5
Jasper County,MS,2018,"6,106","5,749",357,5.8
Jefferson County,MS,2018,"1,998","1,733",265,13.3
Jefferson Davis County,MS,2018,"4,113","3,838",275,6.7
Jones County,MS,2018,"25,613","24,391","1,222",4.8
Kemper County,MS,2018,"3,454","3,198",256,7.4
Lafayette County,MS,2018,"28,216","27,121","1,095",3.9
Lamar County,MS,2018,"30,510","29,401","1,109",3.6
Lauderdale County,MS,2018,"30,550","29,012","1,538",5
Lawrence County,MS,2018,"4,605","4,331",274,6
Leake County,MS,2018,"7,927","7,538",389,4.9
Lee County,MS,2018,"40,297","38,731","1,566",3.9
Leflore County,MS,2018,"10,251","9,559",692,6.8
Lincoln County,MS,2018,"14,663","13,972",691,4.7
Lowndes County,MS,2018,"25,329","24,110","1,219",4.8
Madison County,MS,2018,"53,303","51,353","1,950",3.7
Marion County,MS,2018,"10,130","9,609",521,5.1
Marshall County,MS,2018,"14,591","13,861",730,5
Monroe County,MS,2018,"15,351","14,597",754,4.9
Montgomery County,MS,2018,"4,047","3,834",213,5.3
Neshoba County,MS,2018,"10,307","9,797",510,4.9
Newton County,MS,2018,"8,422","8,012",410,4.9
Noxubee County,MS,2018,"3,845","3,586",259,6.7
Oktibbeha County,MS,2018,"22,521","21,460","1,061",4.7
Panola County,MS,2018,"12,970","12,200",770,5.9
Pearl River County,MS,2018,"23,312","22,214","1,098",4.7
Perry County,MS,2018,"4,355","4,100",255,5.9
Pike County,MS,2018,"14,572","13,739",833,5.7
Pontotoc County,MS,2018,"14,423","13,864",559,3.9
Prentiss County,MS,2018,"11,207","10,722",485,4.3
Quitman County,MS,2018,"2,432","2,248",184,7.6
Rankin County,MS,2018,"76,149","73,554","2,595",3.4
Scott County,MS,2018,"13,152","12,637",515,3.9
Sharkey County,MS,2018,"1,686","1,568",118,7
Simpson County,MS,2018,"10,931","10,439",492,4.5
Smith County,MS,2018,"6,752","6,456",296,4.4
Stone County,MS,2018,"6,791","6,422",369,5.4
Sunflower County,MS,2018,"7,837","7,226",611,7.8
Tallahatchie County,MS,2018,"5,399","5,114",285,5.3
Tate County,MS,2018,"12,259","11,659",600,4.9
Tippah County,MS,2018,"9,443","9,033",410,4.3
Tishomingo County,MS,2018,"8,461","8,068",393,4.6
Tunica County,MS,2018,"4,477","4,240",237,5.3
Union County,MS,2018,"14,034","13,540",494,3.5
Walthall County,MS,2018,"5,024","4,699",325,6.5
Warren County,MS,2018,"20,405","19,292","1,113",5.5
Washington County,MS,2018,"16,727","15,547","1,180",7.1
Wayne County,MS,2018,"7,506","7,103",403,5.4
Webster County,MS,2018,"3,907","3,713",194,5
Wilkinson County,MS,2018,"2,765","2,530",235,8.5
Winston County,MS,2018,"7,407","6,994",413,5.6
Yalobusha County,MS,2018,"5,119","4,865",254,5
Yazoo County,MS,2018,"9,073","8,570",503,5.5
Adair County,MO,2018,"10,672","10,297",375,3.5
Andrew County,MO,2018,"9,685","9,427",258,2.7
Atchison County,MO,2018,"2,771","2,702",69,2.5
Audrain County,MO,2018,"10,804","10,470",334,3.1
Barry County,MO,2018,"15,592","15,129",463,3
Barton County,MO,2018,"5,181","5,021",160,3.1
Bates County,MO,2018,"7,960","7,657",303,3.8
Benton County,MO,2018,"7,143","6,820",323,4.5
Bollinger County,MO,2018,"5,498","5,300",198,3.6
Boone County,MO,2018,"97,114","94,908","2,206",2.3
Buchanan County,MO,2018,"44,570","43,251","1,319",3
Butler County,MO,2018,"18,127","17,297",830,4.6
Caldwell County,MO,2018,"4,404","4,266",138,3.1
Callaway County,MO,2018,"21,087","20,469",618,2.9
Camden County,MO,2018,"18,578","17,795",783,4.2
Cape Girardeau County,MO,2018,"40,008","38,906","1,102",2.8
Carroll County,MO,2018,"4,683","4,536",147,3.1
Carter County,MO,2018,"2,513","2,384",129,5.1
Cass County,MO,2018,"54,386","52,726","1,660",3.1
Cedar County,MO,2018,"5,691","5,495",196,3.4
Chariton County,MO,2018,"3,760","3,655",105,2.8
Christian County,MO,2018,"43,619","42,495","1,124",2.6
Clark County,MO,2018,"3,187","3,064",123,3.9
Clay County,MO,2018,"134,903","130,999","3,904",2.9
Clinton County,MO,2018,"10,852","10,510",342,3.2
Cole County,MO,2018,"38,229","37,273",956,2.5
Cooper County,MO,2018,"7,424","7,194",230,3.1
Crawford County,MO,2018,"10,832","10,407",425,3.9
Dade County,MO,2018,"3,576","3,479",97,2.7
Dallas County,MO,2018,"6,966","6,693",273,3.9
Daviess County,MO,2018,"4,048","3,926",122,3
DeKalb County,MO,2018,"4,829","4,677",152,3.1
Dent County,MO,2018,"6,199","5,994",205,3.3
Douglas County,MO,2018,"5,009","4,780",229,4.6
Dunklin County,MO,2018,"12,102","11,436",666,5.5
Franklin County,MO,2018,"52,287","50,683","1,604",3.1
